Policy ID,Customer ID,Year,Policy Type,Premium,Deductible,Coverage Type,Premium Increase (%),Previous Year Claims,Previous Year Missed Payments,Churn
10054_2019,10054,2019,Life,3114.0,2289.0,Basic,6.0,0,0,0
10055_2019,10055,2019,Health,2261.0,2511.0,Basic,14.0,2,0,1
10056_2019,10056,2019,Life,4461.0,3514.0,Standard,5.0,1,2,1
10057_2019,10057,2019,Health,2593.0,3344.0,Standard,15.0,0,0,0
10058_2019,10058,2019,Health,2326.0,1973.0,Premium,10.0,2,2,1
10059_2019,10059,2019,Health,1923.0,632.0,,9.0,1,1,1
10060_2019,10060,2019,Health,,1738.0,Basic,9.0,2,1,1
10061_2019,10061,2019,Health,4417.0,743.0,,0.0,1,2,1
10062_2019,10062,2019,Health,1530.0,1384.0,Premium,10.0,0,2,1
10063_2019,10063,2019,Auto,4168.0,2401.0,Basic,1.0,1,1,0
10064_2019,10064,2019,Health,3944.0,1158.0,Standard,17.0,1,2,1
10065_2019,10065,2019,Health,2526.0,1773.0,Standard,14.0,0,0,0
10066_2019,10066,2019,Health,1521.0,900.0,Standard,11.0,2,2,1
10067_2019,10067,2019,Auto,,4047.0,Standard,10.0,1,0,1
10068_2019,10068,2019,Health,3405.0,2801.0,Basic,5.0,1,0,1
10069_2019,10069,2019,Life,3494.0,,Standard,11.0,2,0,1
10070_2019,10070,2019,Life,4083.0,2516.0,Standard,4.0,0,1,0
10071_2019,10071,2019,Health,2608.0,4900.0,Basic,3.0,1,2,1
10072_2019,10072,2019,Auto,2453.0,1185.0,Basic,8.0,2,0,1
10073_2019,10073,2019,Life,1615.0,2313.0,,11.0,1,1,1
10074_2019,10074,2019,Life,3454.0,523.0,Premium,19.0,2,1,1
10075_2019,10075,2019,Health,3256.0,3894.0,Basic,2.0,1,2,1
10076_2019,10076,2019,Life,3737.0,4513.0,Basic,9.0,0,2,1
10077_2019,10077,2019,Health,2394.0,3780.0,Premium,4.0,0,1,0
10078_2019,10078,2019,Life,2972.0,1304.0,Standard,16.0,0,0,1
10079_2019,10079,2019,Health,2955.0,3735.0,Premium,19.0,2,2,1
10080_2019,10080,2019,Health,1613.0,3612.0,Standard,,2,2,1
10081_2019,10081,2019,Life,4771.0,4144.0,Premium,16.0,2,1,1
10082_2019,10082,2019,Health,2612.0,3443.0,Standard,14.0,2,1,1
10083_2019,10083,2019,Auto,2399.0,3143.0,Premium,13.0,2,0,1
10084_2019,10084,2019,Health,4372.0,1580.0,Standard,3.0,1,2,1
10085_2019,10085,2019,Health,3705.0,2891.0,Premium,8.0,1,0,0
10086_2019,10086,2019,Home,3999.0,2591.0,Standard,3.0,0,0,0
10087_2019,10087,2019,Home,2959.0,4075.0,Premium,16.0,2,1,1
10088_2019,10088,2019,Health,3100.0,4830.0,Basic,9.0,1,0,1
10089_2019,10089,2019,Auto,4929.0,3385.0,Basic,,0,2,1
10090_2019,10090,2019,Health,1323.0,3322.0,Premium,15.0,0,2,1
10091_2019,10091,2019,Life,2774.0,827.0,Standard,,2,1,1
10092_2019,10092,2019,Auto,1924.0,3088.0,Basic,19.0,0,2,1
10093_2019,10093,2019,Health,4431.0,3608.0,Standard,10.0,1,1,1
10094_2019,10094,2019,Health,4626.0,3735.0,Standard,13.0,0,1,0
10095_2019,10095,2019,Auto,2286.0,776.0,Standard,10.0,0,0,0
10096_2019,10096,2019,Health,3393.0,1760.0,Premium,11.0,0,0,0
10097_2019,10097,2019,Auto,1249.0,4547.0,Premium,7.0,2,2,1
10098_2019,10098,2019,Auto,2113.0,2045.0,Standard,15.0,0,2,1
10099_2019,10099,2019,Health,2976.0,1324.0,Basic,0.0,2,2,1
10100_2019,10100,2019,Health,2924.0,4853.0,Premium,17.0,1,0,1
10101_2019,10101,2019,Health,2868.0,1190.0,Basic,0.0,1,2,1
10102_2019,10102,2019,Health,2623.0,4899.0,Standard,10.0,1,0,1
10103_2019,10103,2019,Auto,1743.0,1024.0,Basic,1.0,2,2,1
10104_2019,10104,2019,Health,1723.0,4251.0,Standard,10.0,0,0,0
10105_2019,10105,2019,Auto,4616.0,1906.0,Standard,2.0,1,0,1
10106_2019,10106,2019,Health,4194.0,4071.0,Standard,1.0,1,2,1
10107_2019,10107,2019,Home,2815.0,1681.0,Premium,8.0,2,0,1
10108_2019,10108,2019,Life,1785.0,966.0,Standard,7.0,0,1,1
10109_2019,10109,2019,Life,2813.0,4990.0,Basic,5.0,2,0,1
10110_2019,10110,2019,Auto,3612.0,2439.0,Basic,18.0,2,1,1
10111_2019,10111,2019,Life,,1732.0,Standard,1.0,0,0,0
10112_2019,10112,2019,Auto,4421.0,1335.0,Basic,7.0,2,0,1
10113_2019,10113,2019,Health,2259.0,1244.0,Basic,18.0,0,0,0
10114_2019,10114,2019,Health,1770.0,4321.0,Basic,10.0,2,0,1
10115_2019,10115,2019,Auto,3762.0,3671.0,Standard,6.0,0,0,1
10116_2019,10116,2019,Auto,,2926.0,Basic,13.0,0,0,1
10117_2019,10117,2019,Health,4974.0,3993.0,Basic,14.0,1,1,1
10118_2019,10118,2019,Auto,3595.0,3868.0,Basic,7.0,1,2,1
10119_2019,10119,2019,Health,20168.0,1140.0,Premium,5.0,2,1,1
10120_2019,10120,2019,Health,4294.0,4887.0,Standard,16.0,1,2,1
10121_2019,10121,2019,Life,3416.0,3181.0,Standard,3.0,0,0,0
10122_2019,10122,2019,Auto,1356.0,,Standard,19.0,0,0,1
10123_2019,10123,2019,Auto,1387.0,1153.0,Standard,8.0,0,1,1
10124_2019,10124,2019,Auto,4943.0,4646.0,Premium,13.0,0,2,1
10125_2019,10125,2019,Life,4494.0,1072.0,Premium,7.0,0,1,1
10126_2019,10126,2019,Auto,3989.0,2253.0,Basic,18.0,1,1,1
10127_2019,10127,2019,Auto,2241.0,4804.0,Basic,13.0,2,1,1
10128_2019,10128,2019,Health,1384.0,4184.0,Basic,12.0,2,1,1
10129_2019,10129,2019,Health,3662.0,4726.0,Standard,17.0,1,0,1
10130_2019,10130,2019,Health,4571.0,2103.0,Basic,1.0,2,0,1
10131_2019,10131,2019,Health,3094.0,2090.0,Standard,,0,0,0
10132_2019,10132,2019,Health,4997.0,1374.0,Basic,13.0,1,1,1
10133_2019,10133,2019,Auto,4208.0,3003.0,,8.0,2,2,1
10134_2019,10134,2019,Health,,1461.0,,12.0,2,0,1
10135_2019,10135,2019,Health,2526.0,2622.0,Basic,18.0,0,1,1
10136_2019,10136,2019,Health,4562.0,2692.0,Basic,10.0,0,1,0
10137_2019,10137,2019,Health,1686.0,4139.0,Standard,,0,1,1
10138_2019,10138,2019,Auto,1271.0,2026.0,Basic,9.0,1,1,1
10139_2019,10139,2019,Health,3638.0,2781.0,Basic,19.0,2,1,1
10140_2019,10140,2019,Health,27436.0,4540.0,Standard,17.0,1,1,1
10141_2019,10141,2019,Health,1382.0,2793.0,Premium,14.0,0,1,1
10142_2019,10142,2019,Home,1557.0,2046.0,Standard,17.0,2,2,1
10143_2019,10143,2019,Auto,4458.0,4431.0,Standard,3.0,1,2,1
10144_2019,10144,2019,Health,4833.0,4311.0,Standard,7.0,0,2,1
10145_2019,10145,2019,Health,,3881.0,Premium,,1,0,1
10146_2019,10146,2019,Auto,4179.0,4942.0,Standard,4.0,0,1,0
10147_2019,10147,2019,Life,2040.0,1941.0,Standard,0.0,0,2,0
10148_2019,10148,2019,Health,2836.0,1475.0,Premium,19.0,1,1,1
10149_2019,10149,2019,Health,2968.0,4047.0,Basic,16.0,2,2,1
10150_2019,10150,2019,Health,4958.0,4730.0,Basic,12.0,1,0,1
10151_2019,10151,2019,Health,4068.0,2784.0,Standard,8.0,1,2,1
10152_2019,10152,2019,Health,3969.0,3251.0,Basic,2.0,1,2,1
10153_2019,10153,2019,Health,1870.0,2376.0,Standard,15.0,1,2,1
10154_2019,10154,2019,Health,36175.0,2773.0,Premium,14.0,2,2,1
10155_2019,10155,2019,Health,3479.0,2676.0,Basic,0.0,2,2,1
10156_2019,10156,2019,Auto,3380.0,,Basic,6.0,2,2,1
10157_2019,10157,2019,Life,1488.0,2507.0,Premium,12.0,0,2,1
10158_2019,10158,2019,Auto,4583.0,703.0,Basic,5.0,0,1,1
10159_2019,10159,2019,Health,1643.0,,Standard,10.0,2,0,1
10160_2019,10160,2019,Auto,2505.0,3102.0,Standard,3.0,2,2,1
10161_2019,10161,2019,Health,1211.0,4235.0,Basic,,2,2,1
10162_2019,10162,2019,Health,1979.0,2533.0,,2.0,1,0,0
10163_2019,10163,2019,Health,2141.0,3536.0,Standard,16.0,2,2,1
10164_2019,10164,2019,Health,3158.0,2790.0,Basic,19.0,0,0,0
10165_2019,10165,2019,Auto,,713.0,Standard,18.0,1,0,1
10166_2019,10166,2019,Auto,4711.0,1563.0,Basic,2.0,1,2,1
10167_2019,10167,2019,Auto,1102.0,3202.0,Basic,17.0,2,1,1
10168_2019,10168,2019,Health,3545.0,4976.0,Standard,13.0,1,0,1
10169_2019,10169,2019,Auto,4387.0,3723.0,Standard,6.0,1,1,1
10170_2019,10170,2019,Health,2518.0,1223.0,Standard,12.0,2,2,1
10171_2019,10171,2019,Auto,4533.0,4131.0,Standard,6.0,2,2,1
10172_2019,10172,2019,Health,3008.0,4045.0,Premium,8.0,1,1,1
10173_2019,10173,2019,Health,3012.0,666.0,Basic,,1,2,1
10174_2019,10174,2019,Life,4674.0,3740.0,Basic,2.0,0,0,0
10175_2019,10175,2019,Auto,2281.0,4228.0,Basic,10.0,0,2,1
10176_2019,10176,2019,Health,2036.0,1669.0,Basic,7.0,0,1,0
10177_2019,10177,2019,Home,2689.0,2714.0,Premium,2.0,2,1,1
10178_2019,10178,2019,Auto,3389.0,4241.0,Standard,2.0,0,2,1
10179_2019,10179,2019,Health,4351.0,550.0,Premium,7.0,0,0,1
10180_2019,10180,2019,Health,4220.0,4659.0,,6.0,0,0,0
10181_2019,10181,2019,Health,2656.0,4828.0,Standard,19.0,0,1,1
10182_2019,10182,2019,Health,25390.0,3276.0,Standard,11.0,0,0,0
10183_2019,10183,2019,Auto,4029.0,2768.0,,17.0,0,0,0
10184_2019,10184,2019,Health,1735.0,604.0,,5.0,0,2,1
10185_2019,10185,2019,Health,1623.0,3777.0,Premium,16.0,1,0,0
10186_2019,10186,2019,Health,3850.0,3675.0,Standard,3.0,0,1,0
10187_2019,10187,2019,Auto,1540.0,4835.0,Standard,11.0,2,2,1
10188_2019,10188,2019,Auto,2653.0,4680.0,Basic,14.0,0,1,1
10189_2019,10189,2019,Health,4985.0,3126.0,Standard,16.0,0,0,1
10190_2019,10190,2019,Auto,4654.0,,Standard,4.0,0,0,0
10191_2019,10191,2019,Health,4165.0,3162.0,,9.0,0,1,0
10192_2019,10192,2019,Home,2330.0,801.0,Standard,7.0,0,2,0
10193_2019,10193,2019,Life,27028.0,4156.0,Basic,0.0,0,0,0
10194_2019,10194,2019,Life,1214.0,2069.0,Basic,17.0,1,0,1
10195_2019,10195,2019,Auto,4023.0,2181.0,Standard,15.0,2,2,1
10196_2019,10196,2019,Health,3063.0,2198.0,,6.0,2,0,1
10197_2019,10197,2019,Health,2292.0,2038.0,Basic,5.0,1,2,1
10198_2019,10198,2019,Auto,,4077.0,Standard,12.0,1,0,1
10199_2019,10199,2019,Health,3760.0,1267.0,Standard,5.0,2,1,1
10200_2019,10200,2019,Health,3742.0,3100.0,Basic,5.0,0,1,0
10201_2019,10201,2019,Health,3019.0,4492.0,Premium,10.0,0,0,0
10202_2019,10202,2019,Life,4561.0,778.0,Premium,16.0,1,1,1
10203_2019,10203,2019,Auto,1765.0,1216.0,Basic,5.0,0,2,1
10204_2019,10204,2019,Life,4752.0,2597.0,Standard,19.0,1,0,1
10205_2019,10205,2019,Health,1617.0,3303.0,Standard,6.0,1,0,0
10206_2019,10206,2019,Health,,,Basic,1.0,1,1,1
10207_2019,10207,2019,Health,4269.0,2057.0,Standard,17.0,0,0,0
10208_2019,10208,2019,Health,1310.0,2264.0,Premium,19.0,0,1,1
10209_2019,10209,2019,Health,4302.0,903.0,Standard,1.0,0,1,1
10210_2019,10210,2019,Health,3463.0,3049.0,Basic,0.0,2,0,1
10211_2019,10211,2019,Health,3516.0,99999.0,Basic,16.0,2,1,1
10212_2019,10212,2019,Auto,3444.0,4897.0,Standard,11.0,0,0,1
10213_2019,10213,2019,Health,4597.0,3701.0,Standard,19.0,2,2,1
10214_2019,10214,2019,Auto,1882.0,696.0,Basic,16.0,0,0,0
10215_2019,10215,2019,Life,4002.0,1272.0,Standard,17.0,2,1,1
10216_2019,10216,2019,Health,4443.0,2898.0,Basic,17.0,0,1,0
10217_2019,10217,2019,Health,,1429.0,Basic,0.0,0,0,0
10218_2019,10218,2019,Life,,743.0,Premium,18.0,1,2,1
10219_2019,10219,2019,Health,3309.0,4306.0,Basic,8.0,2,1,1
10220_2019,10220,2019,Health,3814.0,1340.0,Basic,17.0,0,2,1
10221_2019,10221,2019,Life,3459.0,4136.0,Basic,12.0,0,1,0
10222_2019,10222,2019,Auto,4358.0,4141.0,Standard,7.0,2,1,1
10223_2019,10223,2019,Auto,1599.0,907.0,Standard,19.0,1,2,1
10224_2019,10224,2019,Health,3007.0,1416.0,Standard,18.0,2,0,1
10225_2019,10225,2019,Life,1259.0,2062.0,Basic,17.0,2,1,1
10226_2019,10226,2019,Life,2641.0,4188.0,Premium,12.0,2,0,1
10227_2019,10227,2019,Health,2606.0,4256.0,Basic,7.0,0,0,0
10228_2019,10228,2019,Health,,4977.0,Basic,3.0,0,1,1
10229_2019,10229,2019,Auto,,3299.0,Standard,1.0,1,2,1
10230_2019,10230,2019,Auto,20064.0,1369.0,Standard,3.0,2,2,1
10231_2019,10231,2019,Life,33620.0,4938.0,Premium,12.0,1,2,1
10232_2019,10232,2019,Health,1218.0,4635.0,Standard,1.0,1,1,0
10233_2019,10233,2019,Health,1790.0,4758.0,Standard,6.0,1,0,0
10234_2019,10234,2019,Life,4878.0,3746.0,Standard,2.0,1,2,1
10235_2019,10235,2019,Auto,2783.0,672.0,Basic,11.0,2,2,1
10236_2019,10236,2019,Auto,4916.0,2803.0,Basic,5.0,1,2,1
10237_2019,10237,2019,Home,1304.0,3123.0,Basic,,0,1,0
10238_2019,10238,2019,Health,3977.0,2482.0,Standard,17.0,0,2,1
10239_2019,10239,2019,Life,3718.0,4049.0,Basic,15.0,2,1,1
10240_2019,10240,2019,Health,4698.0,4672.0,Premium,12.0,2,1,1
10241_2019,10241,2019,Health,3484.0,2704.0,Premium,16.0,0,0,0
10242_2019,10242,2019,Health,1583.0,1788.0,Basic,1.0,2,1,1
10243_2019,10243,2019,Health,1533.0,,Basic,1.0,2,0,1
10244_2019,10244,2019,Health,43787.0,,Basic,16.0,2,1,1
10245_2019,10245,2019,Health,1938.0,2663.0,Standard,3.0,1,2,1
10246_2019,10246,2019,Auto,2976.0,4936.0,Basic,9.0,2,2,1
10247_2019,10247,2019,Health,2553.0,1272.0,Premium,18.0,0,0,1
10248_2019,10248,2019,Auto,2242.0,4568.0,Standard,19.0,0,1,1
10249_2019,10249,2019,Auto,2372.0,1749.0,Basic,14.0,0,2,1
10250_2019,10250,2019,Auto,,1728.0,Premium,11.0,1,2,1
10251_2019,10251,2019,Life,1307.0,2151.0,Basic,4.0,1,1,1
10252_2019,10252,2019,Health,1133.0,2378.0,,14.0,0,2,1
10253_2019,10253,2019,Auto,3616.0,2780.0,,18.0,1,2,1
10254_2019,10254,2019,Health,3688.0,3396.0,Standard,8.0,1,0,0
10255_2019,10255,2019,Health,1931.0,608.0,Basic,13.0,0,0,0
10256_2019,10256,2019,Health,4522.0,1080.0,Basic,7.0,1,2,1
10257_2019,10257,2019,Health,2120.0,4067.0,Basic,13.0,2,0,1
10258_2019,10258,2019,Health,3576.0,4924.0,Basic,4.0,2,1,1
10259_2019,10259,2019,Health,2622.0,1636.0,Premium,13.0,2,2,1
10260_2019,10260,2019,Auto,4033.0,4723.0,Basic,13.0,2,0,1
10261_2019,10261,2019,Life,4925.0,-500.0,Premium,4.0,1,2,1
10262_2019,10262,2019,Life,3682.0,4259.0,Standard,3.0,0,0,0
10263_2019,10263,2019,Health,2065.0,3433.0,Basic,0.0,1,0,0
10264_2019,10264,2019,Auto,2875.0,3676.0,Standard,3.0,2,2,1
10265_2019,10265,2019,Auto,4691.0,4730.0,Standard,14.0,2,1,1
10266_2019,10266,2019,Auto,4062.0,3937.0,Standard,5.0,2,0,1
10267_2019,10267,2019,Life,4843.0,,,5.0,2,1,1
10268_2019,10268,2019,Auto,4492.0,3674.0,Basic,19.0,1,0,1
10269_2019,10269,2019,Health,4871.0,1345.0,Standard,1.0,1,0,1
10270_2019,10270,2019,Health,4932.0,4844.0,Standard,9.0,0,1,1
10271_2019,10271,2019,Auto,3347.0,2885.0,Standard,12.0,2,0,1
10272_2019,10272,2019,Life,2032.0,558.0,,11.0,2,1,1
10273_2019,10273,2019,Life,3779.0,1501.0,Premium,15.0,1,2,1
10274_2019,10274,2019,Auto,1175.0,,Standard,14.0,1,0,1
10275_2019,10275,2019,Health,4861.0,1846.0,Premium,1.0,1,0,1
10276_2019,10276,2019,Health,3759.0,2737.0,Standard,5.0,1,1,1
10277_2019,10277,2019,Health,4427.0,2209.0,Standard,3.0,0,0,0
10278_2019,10278,2019,Health,3392.0,2480.0,Basic,14.0,1,2,1
10279_2019,10279,2019,Auto,2573.0,4583.0,Basic,5.0,1,1,1
10280_2019,10280,2019,Health,4262.0,4267.0,Basic,0.0,0,2,0
10281_2019,10281,2019,Health,4773.0,1315.0,Standard,,1,2,1
10282_2019,10282,2019,Home,2917.0,3197.0,Standard,16.0,2,1,1
10283_2019,10283,2019,Home,4224.0,1670.0,Basic,11.0,0,0,0
10284_2019,10284,2019,Health,3532.0,1119.0,Premium,12.0,2,1,1
10285_2019,10285,2019,Health,1029.0,613.0,Premium,13.0,1,0,1
10286_2019,10286,2019,Health,3859.0,1766.0,Standard,,1,2,1
10287_2019,10287,2019,Health,2352.0,626.0,Basic,10.0,0,2,1
10288_2019,10288,2019,Auto,4030.0,1336.0,Premium,14.0,2,0,1
10289_2019,10289,2019,Life,2261.0,939.0,Basic,,2,2,1
10290_2019,10290,2019,Auto,1290.0,1044.0,Basic,6.0,1,0,1
10291_2019,10291,2019,Health,,3220.0,Basic,4.0,1,2,1
10292_2019,10292,2019,Health,4184.0,1094.0,Premium,9.0,0,1,1
10293_2019,10293,2019,Auto,3342.0,577.0,Basic,2.0,0,1,0
10294_2019,10294,2019,Health,2808.0,1194.0,Standard,6.0,0,0,1
10295_2019,10295,2019,Home,3818.0,1643.0,Standard,12.0,2,1,1
10296_2019,10296,2019,Home,,2262.0,Premium,16.0,2,1,1
10297_2019,10297,2019,Health,1463.0,944.0,Premium,0.0,1,1,1
10298_2019,10298,2019,Auto,1035.0,2095.0,Basic,12.0,0,1,1
10299_2019,10299,2019,Health,3714.0,1405.0,,17.0,0,1,0
10300_2019,10300,2019,Auto,4534.0,,Standard,19.0,2,0,1
10301_2019,10301,2019,Health,4817.0,1440.0,Standard,13.0,2,1,1
10302_2019,10302,2019,Home,1329.0,2195.0,Basic,11.0,1,0,0
10303_2019,10303,2019,Health,4910.0,3001.0,Basic,10.0,2,1,1
10304_2019,10304,2019,Auto,1862.0,4759.0,Standard,16.0,0,1,1
10305_2019,10305,2019,Health,2355.0,4291.0,Basic,18.0,0,0,1
10306_2019,10306,2019,Auto,2611.0,2477.0,Standard,17.0,0,1,1
10307_2019,10307,2019,Health,2731.0,3174.0,Basic,14.0,0,2,1
10308_2019,10308,2019,Auto,3416.0,3045.0,Standard,18.0,1,2,1
10309_2019,10309,2019,Life,4659.0,4071.0,Basic,1.0,1,1,1
10310_2019,10310,2019,Life,1260.0,3550.0,Standard,10.0,0,2,1
10311_2019,10311,2019,Health,3457.0,99999.0,Standard,9.0,0,0,0
10312_2019,10312,2019,Health,4299.0,1366.0,Basic,,2,1,1
10313_2019,10313,2019,Health,4270.0,4558.0,Standard,17.0,1,0,1
10314_2019,10314,2019,Life,4166.0,,Basic,12.0,2,2,1
10315_2019,10315,2019,Health,2826.0,4315.0,Basic,,2,1,1
10316_2019,10316,2019,Health,4140.0,2260.0,Premium,,0,0,0
10317_2019,10317,2019,Health,2649.0,2092.0,Standard,17.0,1,0,1
10318_2019,10318,2019,Life,1046.0,3929.0,Basic,15.0,2,0,1
10319_2019,10319,2019,Health,1634.0,851.0,Standard,10.0,2,2,1
10320_2019,10320,2019,Life,3675.0,700.0,Standard,12.0,0,0,0
10321_2019,10321,2019,Auto,3582.0,1789.0,Standard,9.0,1,0,0
10322_2019,10322,2019,Home,,,Standard,19.0,1,0,1
10323_2019,10323,2019,Life,3040.0,,Premium,0.0,1,1,0
10324_2019,10324,2019,Home,2295.0,811.0,Standard,16.0,0,0,0
10325_2019,10325,2019,Home,3876.0,1337.0,Standard,4.0,0,2,0
10326_2019,10326,2019,Life,4635.0,2878.0,Premium,4.0,1,1,1
10327_2019,10327,2019,Health,2676.0,3250.0,Standard,14.0,0,2,1
10328_2019,10328,2019,Health,3933.0,4956.0,,6.0,2,1,1
10329_2019,10329,2019,Health,4032.0,1644.0,Standard,12.0,1,2,1
10330_2019,10330,2019,Health,1386.0,4791.0,Basic,7.0,2,1,1
10331_2019,10331,2019,Life,1749.0,,Premium,9.0,0,0,0
10332_2019,10332,2019,Life,4830.0,4351.0,Premium,14.0,0,0,1
10333_2019,10333,2019,Health,4948.0,3202.0,Basic,4.0,2,2,1
10334_2019,10334,2019,Home,1147.0,4013.0,Premium,,0,2,1
10335_2019,10335,2019,Home,2159.0,1048.0,Standard,6.0,2,0,1
10336_2019,10336,2019,Health,3387.0,2339.0,Premium,6.0,1,0,0
10337_2019,10337,2019,Health,2964.0,3746.0,Basic,1.0,0,2,0
10338_2019,10338,2019,Health,2264.0,4622.0,Basic,17.0,1,0,1
10339_2019,10339,2019,Health,1196.0,1389.0,Standard,10.0,2,2,1
10340_2019,10340,2019,Health,1978.0,3713.0,Basic,6.0,0,1,0
10341_2019,10341,2019,Auto,4336.0,527.0,Standard,15.0,0,2,1
10342_2019,10342,2019,Auto,4878.0,,Standard,17.0,1,1,1
10343_2019,10343,2019,Home,1322.0,2908.0,Basic,2.0,0,0,0
10344_2019,10344,2019,Health,1344.0,4524.0,Standard,19.0,0,1,1
10345_2019,10345,2019,Health,2023.0,4468.0,Standard,1.0,1,0,0
10346_2019,10346,2019,Life,4415.0,3486.0,Premium,15.0,0,2,1
10347_2019,10347,2019,Auto,1823.0,4877.0,Standard,4.0,1,0,1
10348_2019,10348,2019,Auto,1058.0,991.0,Standard,16.0,0,0,0
10349_2019,10349,2019,Auto,2432.0,1003.0,Basic,11.0,2,1,1
10350_2019,10350,2019,Health,1040.0,1381.0,Basic,13.0,0,0,0
10351_2019,10351,2019,Auto,4893.0,,Basic,0.0,2,2,1
10352_2019,10352,2019,Life,4350.0,4267.0,Standard,1.0,0,2,1
10353_2019,10353,2019,Auto,4179.0,3529.0,Standard,8.0,0,2,1
10354_2019,10354,2019,Life,1517.0,2171.0,Standard,13.0,2,0,1
10355_2019,10355,2019,Health,1155.0,2688.0,Standard,12.0,2,1,1
10356_2019,10356,2019,Health,2717.0,4340.0,Basic,19.0,2,1,1
10357_2019,10357,2019,Health,4175.0,4717.0,Basic,9.0,2,0,1
10358_2019,10358,2019,Auto,3230.0,3694.0,Basic,2.0,2,1,1
10359_2019,10359,2019,Life,4147.0,800.0,,13.0,0,1,0
10360_2019,10360,2019,Auto,3180.0,4780.0,Standard,16.0,1,1,1
